month,team_unlocked,vc_unlocked,presale_unlocked,community_unlocked,airdrop_unlocked,market_facing_unlocked,treasury_emitted_conservative,liquidity_emitted_conservative,circulating_conservative,treasury_emitted_base,liquidity_emitted_base,circulating_base,treasury_emitted_aggressive,liquidity_emitted_aggressive,circulating_aggressive
31,105555555.55555555,50000000.0,70000000.0,150000000.0,30000000.0,405555555.5555556,0.0,0.0,405555555.5555556,31000000.000000004,25833333.333333336,462388888.8888889,62000000.00000001,51666666.66666667,519222222.22222227
32,111111111.11111112,50000000.0,70000000.0,150000000.0,30000000.0,411111111.1111111,0.0,0.0,411111111.1111111,32000000.0,26666666.666666668,469777777.7777778,64000000.0,53333333.333333336,528444444.4444444
33,116666666.66666667,50000000.0,70000000.0,150000000.0,30000000.0,416666666.6666667,0.0,0.0,416666666.6666667,33000000.000000004,27500000.000000004,477166666.6666667,66000000.00000001,55000000.00000001,537666666.6666667
34,122222222.22222224,50000000.0,70000000.0,150000000.0,30000000.0,422222222.2222222,0.0,0.0,422222222.2222222,34000000.0,28333333.333333332,484555555.5555555,68000000.0,56666666.666666664,546888888.8888888
35,127777777.77777776,50000000.0,70000000.0,150000000.0,30000000.0,427777777.7777778,0.0,0.0,427777777.7777778,35000000.0,29166666.666666668,491944444.4444445,70000000.0,58333333.333333336,556111111.1111112
36,133333333.33333333,50000000.0,70000000.0,150000000.0,30000000.0,433333333.3333333,0.0,0.0,433333333.3333333,36000000.0,30000000.0,499333333.3333333,72000000.0,60000000.0,565333333.3333333
37,138888888.8888889,50000000.0,70000000.0,150000000.0,30000000.0,438888888.8888889,0.0,0.0,438888888.8888889,37000000.0,30833333.333333336,506722222.2222222,74000000.0,61666666.66666667,574555555.5555556
38,144444444.44444445,50000000.0,70000000.0,150000000.0,30000000.0,444444444.4444444,0.0,0.0,444444444.4444444,38000000.0,31666666.666666664,514111111.1111111,76000000.0,63333333.33333333,583777777.7777778
39,150000000.0,50000000.0,70000000.0,150000000.0,30000000.0,450000000.0,0.0,0.0,450000000.0,39000000.0,32500000.0,521500000.0,78000000.0,65000000.0,593000000.0
40,155555555.55555555,50000000.0,70000000.0,150000000.0,30000000.0,455555555.5555556,0.0,0.0,455555555.5555556,40000000.0,33333333.333333332,528888888.8888889,80000000.0,66666666.666666664,602222222.2222222
41,161111111.1111111,50000000.0,70000000.0,150000000.0,30000000.0,461111111.1111111,0.0,0.0,461111111.1111111,41000000.0,34166666.666666664,536277777.7777778,82000000.0,68333333.33333333,611444444.4444445
42,166666666.6666667,50000000.0,70000000.0,150000000.0,30000000.0,466666666.6666667,0.0,0.0,466666666.6666667,42000000.0,35000000.0,543666666.6666667,84000000.0,70000000.0,620666666.6666667
43,172222222.22222224,50000000.0,70000000.0,150000000.0,30000000.0,472222222.2222222,0.0,0.0,472222222.2222222,43000000.0,35833333.333333336,551055555.5555556,86000000.0,71666666.66666667,629888888.8888888
